Order ID,Order Date,Region,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
1001,2024-01-05,East,Office Supplies,Binders,Elastic Spine Binders,14.95,2,0.0,5.10
1002,2024-01-07,West,Furniture,Chairs,Ergonomic Mesh Chair,345.50,1,0.1,45.00
1003,2024-01-11,Central,Technology,Phones,Wireless Headset,89.99,3,0.05,15.50
1004,2024-01-15,South,Office Supplies,Paper,Copy Paper Ream,23.49,5,0.0,8.25
1005,2024-01-18,East,Furniture,Tables,Standing Desk,499.99,1,0.15,72.00
1006,2024-01-20,West,Technology,Accessories,USB-C Dock,129.99,2,0.0,29.99
1007,2024-01-25,Central,Technology,Storage,External HDD 2TB,99.95,1,0.1,12.50
1008,2024-01-29,South,Office Supplies,Labels,Address Labels,8.99,4,0.0,3.20
1009,2024-02-02,East,Furniture,Bookcases,Modern Bookcase,210.00,1,0.05,30.00
1010,2024-02-07,West,Office Supplies,Binders,Heavy Duty Binder,16.50,3,0.0,6.75
1011,2024-02-12,Central,Technology,Phones,Smartphone Stand,19.99,5,0.2,4.00
1012,2024-02-16,South,Technology,Accessories,Wireless Charger,34.95,2,0.0,10.00
1013,2024-02-20,East,Furniture,Chairs,Executive Leather Chair,685.00,1,0.12,108.00
1014,2024-02-23,West,Office Supplies,Paper,Notebook Bundle,27.99,6,0.0,11.30
1015,2024-02-26,Central,Technology,Storage,SSD 1TB,149.99,1,0.1,22.00
1016,2024-03-01,South,Furniture,Tables,Conference Table,1200.00,1,0.2,150.00
1017,2024-03-05,East,Office Supplies,Labels,Roll Labels,12.99,3,0.0,4.60
1018,2024-03-08,West,Technology,Phones,Smartphone Case,9.99,10,0.25,2.50
1019,2024-03-12,Central,Furniture,Bookcases,Wooden Bookcase,180.00,1,0.05,24.00
1020,2024-03-15,South,Office Supplies,Binders,Color Binder Set,25.75,2,0.0,9.00
1021,2024-03-18,East,Technology,Accessories,Bluetooth Speaker,65.00,2,0.1,12.00
1022,2024-03-22,West,Furniture,Chairs,Stacking Chair,89.00,4,0.0,20.00
1023,2024-03-25,Central,Office Supplies,Paper,Poster Paper,15.50,12,0.05,5.20
1024,2024-04-01,South,Technology,Storage,Flash Drive 128GB,24.99,3,0.0,8.00
1025,2024-04-05,East,Furniture,Tables,Adjustable Table,320.00,1,0.08,40.00
1026,2024-04-10,West,Office Supplies,Labels,Shipping Labels,11.95,5,0.0,3.95
1027,2024-04-14,Central,Technology,Phones,Video Conference Camera,249.99,1,0.15,35.00
1028,2024-04-18,South,Office Supplies,Binders,Archive Binder,19.99,2,0.0,7.00
1029,2024-04-25,East,Furniture,Bookcases,Open Shelf Bookcase,205.00,1,0.05,28.00
1030,2024-04-30,West,Technology,Accessories,Wireless Mouse,24.99,3,0.0,9.00
1031,2024-05-02,Central,Office Supplies,Paper,Sticky Notes,6.49,8,0.0,2.40
1032,2024-05-06,South,Technology,Storage,NAS Device,899.99,1,0.1,120.00
1033,2024-05-10,East,Office Supplies,Labels,File Folder Labels,7.99,7,0.0,2.80
1034,2024-05-12,West,Furniture,Chairs,Leather Conference Chair,720.00,1,0.18,95.00
1035,2024-05-16,Central,Technology,Phones,Wireless Earbuds,149.99,2,0.05,18.50
1036,2024-05-20,South,Office Supplies,Paper,Inkjet Photo Paper,28.50,5,0.0,10.50
1037,2024-05-22,East,Furniture,Tables,Reception Desk,2345.00,1,0.15,310.00
1038,2024-05-28,West,Technology,Accessories,Keyboard,45.00,4,0.0,10.00
1039,2024-06-01,Central,Office Supplies,Binders,Document Organizer,22.75,2,0.0,8.80
1040,2024-06-05,South,Furniture,Bookcases,Corner Bookcase,315.00,1,0.05,42.00
1041,2024-06-08,East,Technology,Storage,Cloud Backup Service,1200.00,1,0.0,140.00
1042,2024-06-12,West,Office Supplies,Labels,Magnetic Labels,10.99,6,0.0,3.50
1043,,Central,Furniture,Chairs,Guest Chair,150.00,2,0.0,18.00
1044,2024-06-20,South,Technology,Phones,Mobile Hotspot,79.99,1,0.1,8.50
1045,2024-06-25,East,Office Supplies,Paper,Ledger Paper,19.99,3,0.0,7.25
1046,2024-06-28,West,Furniture,Tables,Workstation Table,780.00,1,0.12,98.00
1047,2024-07-02,Central,Technology,Accessories,Laptop Stand,39.99,2,0.0,11.75
1048,2024-07-05,South,Office Supplies,Binders,Presentation Folder,13.49,4,0.0,5.20
1049,2024-07-09,East,Furniture,Bookcases,Large Bookcase,420.00,1,0.05,55.00
1050,2024-07-12,West,Technology,Phones,Smartphone Repair Kit,49.99,1,0.0,12.50
